"","colNames_bk"
"219","m_n08_marksales_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"220","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f"
"221","m_dayssnclast_open_AND_m_n12_strategy_f_AND_m_n26_americas_f"
"222","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n19_socialsector_f"
"223","m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_n27_asiapac_f"
"224","m_n16_healthcare_f_AND_m_n24_travel_f_AND_m_tenure"
"225","m_n08_marksales_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"226","m_n09_operations_f_AND_m_n22_publicsector_f_AND_w_seclvl3ev8_cnspkg_f"
"227","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_optin_monthly_highlights_f"
"228","m_n15_financialserv_f_AND_m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"229","m_n08_marksales_f_AND_m_n32_mckquaterly_f_AND_m_optin_monthly_highlights_f"
"230","m_n12_strategy_f_AND_m_tenure_AND_top_pref_consumer_retail_f"
"231","m_n17_hightechtelecominternet_f_AND_m_open_1mon_AND_m_openrate_1mon"
"232","m_n08_marksales_f_AND_m_n35_automotive_f_AND_top_pref_consumer_retail_f"
"233","m_clickrate_9mon_AND_m_n08_marksales_f_AND_m_n24_travel_f"
"234","m_n12_strategy_f_AND_m_open_1mon_AND_m_openrate_1mon"
"235","m_dayssnclast_open_AND_m_open_1mon_AND_m_openrate_1mon"
"236","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"237","m_n08_marksales_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"238","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f"
"239","m_n15_financialserv_f_AND_m_n22_publicsector_f_AND_m_n24_travel_f"
"240","m_n08_marksales_f_AND_m_n22_publicsector_f_AND_w_seclvl3ev8_cnspkg_f"
"241","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f"
"242","m_n09_operations_f_AND_m_n19_socialsector_f_AND_m_n26_americas_f"
"243","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f"
"244","m_n08_marksales_f_AND_m_n26_americas_f_AND_m_n35_automotive_f"
"245","m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f"
"246","m_open_1mon_AND_m_open_1mon_AND_m_openrate_1mon"
"247","m_n09_operations_f_AND_m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f"
"248","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_w_seclvl3ev8_cnspkg_f"
"249","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_n12_strategy_f"
"250","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_optin_monthly_highlights_f"
"251","m_n22_publicsector_f_AND_m_n28_china_f_AND_w_seclvl3ev8_cnspkg_f"
"252","m_n12_strategy_f_AND_m_n26_americas_f_AND_w_seclvl3ev8_cnspkg_f"
"253","m_n15_financialserv_f_AND_m_n22_publicsector_f_AND_m_n26_americas_f"
"254","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n35_automotive_f"
"255","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_top_pref_consumer_retail_f"
"256","m_open_1mon_AND_m_open_3mon_AND_m_openrate_1mon"
"257","m_n08_marksales_f_AND_m_n09_operations_f_AND_m_n17_hightechtelecominternet_f"
"258","m_n08_marksales_f_AND_m_n27_asiapac_f_AND_w_cntdays_sec3ev8_cnspkg"
"259","m_n17_hightechtelecominternet_f_AND_m_n26_americas_f_AND_w_seclvl3ev8_cnspkg_f"
"260","m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"261","m_n09_operations_f_AND_m_n16_healthcare_f_AND_w_seclvl3ev8_cnspkg_f"
